SampDate,SampTime,SampleMethod,ForkLength,TagCode,RaceByTag
"1993-01-08","02:00:00.0000000",2,161,"066340","Fall"
"1993-01-20","06:00:00.0000000",2,162,"052862","LateFall"
"1993-02-07","08:00:00.0000000",2,130,"053122","LateFall"
"1993-02-09","06:00:00.0000000",2,168,"052859","LateFall"
"1993-02-10","00:00:00.0000000",2,168,"053122","LateFall"
"1993-02-10","20:00:00.0000000",2,166,"052859","LateFall"
"1993-02-13","04:00:00.0000000",2,166,"066340","Fall"
"1993-02-17","10:00:00.0000000",2,182,"066340","Fall"
"1993-02-18","00:00:00.0000000",2,155,"053121","LateFall"
"1993-02-21","14:00:00.0000000",2,209,"064651","Fall"
"1993-02-22","06:00:00.0000000",2,221,"064651","Fall"
"1993-02-23","06:00:00.0000000",2,195,"064651","Fall"
"1993-02-23","06:00:00.0000000",2,235,"064651","Fall"
"1993-02-24","06:00:00.0000000",2,245,"064651","Fall"
"1993-02-24","06:00:00.0000000",2,242,"064651","Fall"
"1993-02-24","06:00:00.0000000",2,241,"064651","Fall"
"1993-02-24","06:00:00.0000000",2,231,"064651","Fall"
"1993-02-24","06:00:00.0000000",2,225,"064651","Fall"
"1993-02-24","06:00:00.0000000",2,211,"064651","Fall"
"1993-02-24","06:00:00.0000000",2,219,"064651","Fall"
"1993-03-02","00:00:00.0000000",2,210,"064651","Fall"
"1993-03-03","08:00:00.0000000",2,215,"064651","Fall"
"1993-03-03","16:00:00.0000000",2,242,"064651","Fall"
"1993-03-05","02:00:00.0000000",2,198,"064651","Fall"
"1993-03-05","14:00:00.0000000",2,223,"064651","Fall"
"1993-03-06","18:00:00.0000000",2,206,"064651","Fall"
"1993-03-09","18:00:00.0000000",2,230,"064651","Fall"
"1993-03-10","16:00:00.0000000",2,210,"064651","Fall"
"1993-03-22","12:00:00.0000000",2,221,"064651","Fall"
"1993-03-22","12:00:00.0000000",2,230,"064651","Fall"
"1993-03-22","12:00:00.0000000",2,215,"064651","Fall"
"1993-03-22","12:00:00.0000000",2,240,"064651","Fall"
"1993-04-08","18:00:00.0000000",2,63,"0601140306","Fall"
"1993-04-08","18:00:00.0000000",2,64,"0601140306","Fall"
"1993-04-08","18:00:00.0000000",2,58,"0601140306","Fall"
"1993-04-08","18:00:00.0000000",2,56,"0601140306","Fall"
"1993-04-08","18:00:00.0000000",2,60,"0601140306","Fall"
"1993-04-08","20:00:00.0000000",2,65,"0601140306","Fall"
"1993-04-08","20:00:00.0000000",2,68,"0601140306","Fall"
"1993-04-09","04:00:00.0000000",2,56,"0601140306","Fall"
"1993-04-09","04:00:00.0000000",2,65,"0601140306","Fall"
"1993-04-09","04:00:00.0000000",2,212,"64651","Fall"
"1993-04-09","06:00:00.0000000",2,62,"0601140306","Fall"
"1993-04-09","06:00:00.0000000",2,53,"0601140306","Fall"
"1993-04-09","08:00:00.0000000",2,66,"0601140306","Fall"
"1993-04-09","08:00:00.0000000",2,58,"0601140306","Fall"
"1993-04-09","08:00:00.0000000",2,62,"0601140306","Fall"
"1993-04-09","20:00:00.0000000",2,59,"0601140306","Fall"
"1993-04-09","20:00:00.0000000",2,65,"0601140306","Fall"
"1993-04-10","04:00:00.0000000",2,60,"0601140306","Fall"
"1993-04-10","04:00:00.0000000",2,64,"0601140306","Fall"
"1993-04-10","06:00:00.0000000",2,63,"0601140306","Fall"
"1993-04-10","06:00:00.0000000",2,72,"0601140306","Fall"
"1993-04-10","06:00:00.0000000",2,64,"601140306","Fall"
"1993-04-10","06:00:00.0000000",2,65,"0601140306","Fall"
"1993-04-10","06:00:00.0000000",2,67,"0601140306","Fall"
"1993-04-10","06:00:00.0000000",2,61,"0601140306","Fall"
"1993-04-10","06:00:00.0000000",2,56,"0601140306","Fall"
"1993-04-10","06:00:00.0000000",2,54,"0601140306","Fall"
"1993-04-10","06:00:00.0000000",2,62,"0601140306","Fall"
"1993-04-11","06:00:00.0000000",2,60,"0601140306","Fall"
"1993-04-11","06:00:00.0000000",2,61,"0601140306","Fall"
"1993-04-11","06:00:00.0000000",2,64,"0601140306","Fall"
"1993-04-11","06:00:00.0000000",2,66,"0601140306","Fall"
"1993-04-11","06:00:00.0000000",2,70,"0601140306","Fall"
