OrganismCode,Active,CommonName,Phylum,Class,Order,Family,Genus,Species,Comments,NormalizedCode
1,1,"Chinook Salmon","Chordata","Osteichthyes","Salmoniformes","Salmonidae","Oncorhynchus","tshawytscha",,136
2,1,"Rainbow / Steelhead Trout","Chordata","Osteichthyes","Salmoniformes","Salmonidae","Oncorhynchus","mykiss",,161
3,1,"Striped Bass","Chordata","Osteichthyes","Perciformes","Percichthyidae","Morone","saxatilis",,172
4,1,"White Catfish","Chordata","Osteichthyes","Siluriformes","Ictaluridae","Ameiurus","catus",,179
5,1,"Brown Bullhead","Chordata","Osteichthyes","Siluriformes","Ictaluridae","Ameiurus","nebulosus",,132
6,1,"Channel Catfish","Chordata","Osteichthyes","Siluriformes","Ictaluridae","Ictalurus","punctatus",,135
7,1,"American Shad","Chordata","Osteichthyes","Clupeiformes","Clupeidae","Alosa","sapidissima",,126
8,1,"Threadfin Shad","Chordata","Osteichthyes","Clupeiformes","Clupeidae","Dorosoma","petenense",,175
9,1,"Splittail","Chordata","Osteichthyes","Cypriniformes","Cyprinidae","Pogonichthys","macrolepidotus",,169
10,1,"Sacramento Pikeminnow","Chordata","Osteichthyes","Cypriniformes","Cyprinidae","Ptychocheilus","grandis",,164
11,1,"Threespine Stickleback","Chordata","Osteichthyes","Gasterosteiformes","Gasterosteidae","Gasterosteus","aculeatus",,171
12,1,"Hardhead","Chordata","Osteichthyes","Cypriniformes","Cyprinidae","Mylopharodon","conocephalus",,186
13,1,"Golden Shiner","Chordata","Osteichthyes","Cypriniformes","Cyprinidae","Notemigonus","crysoleucas",,141
14,1,"Common Carp","Chordata","Osteichthyes","Cypriniformes","Cyprinidae","Cyprinus","carpio",,134
15,1,"Goldfish","Chordata","Osteichthyes","Cypriniformes","Cyprinidae","Carassius","auratus",,142
16,1,"Hitch","Chordata","Osteichthyes","Cypriniformes","Cyprinidae","Lavinia","exilicauda",,145
17,1,"Sacramento Blackfish","Chordata","Osteichthyes","Cypriniformes","Cyprinidae","Orthodon","microlepidotus",,163
18,1,"Black Crappie","Chordata","Osteichthyes","Perciformes","Centrarchidae","Pomoxis","nigromaculatus",,130
19,1,"Green Sunfish","Chordata","Osteichthyes","Perciformes","Centrarchidae","Lepomis","cyanellus",,143
20,1,"Warmouth","Chordata","Osteichthyes","Perciformes","Centrarchidae","Lepomis","gulosus",,183
21,1,"Bluegill","Chordata","Osteichthyes","Perciformes","Centrarchidae","Lepomis","macrochirus",,131
22,1,"Largemouth Bass","Chordata","Osteichthyes","Perciformes","Centrarchidae","Micropterus","salmoides",,148
23,1,"Bigscale Logperch","Chordata","Osteichthyes","Perciformes","Percidae","Percina","macrolepida",,128
24,1,"Tule Perch","Chordata","Osteichthyes","Perciformes","Embiotocidae","Hysterocarpus","traski",,177
25,1,"Longfin Smelt","Chordata","Osteichthyes","Salmoniformes","Osmeridae","Spirinchus","thaleichthys",,149
26,1,"Delta Smelt","Chordata","Osteichthyes","Salmoniformes","Osmeridae","Hypomesus","transpacificus",,138
27,1,"White Sturgeon","Chordata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser","transmontanus",,182
28,1,"Green Sturgeon","Chordata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser","medirostris",,144
29,1,"Prickly Sculpin","Chordata","Osteichthyes","Scorpaeniformes","Cottidae","Cottus","asper",,159
30,1,"Yellowfin Goby","Chordata","Osteichthyes","Perciformes","Gobiidae","Acanthogobius","flavimanus",,184
31,1,"Inland Silverside","Chordata","Osteichthyes","Atheriniformes","Atherinidae","Menidia","beryllina",,146
32,1,"Starry Flounder","Chordata","Osteichthyes","Pleuronectiformes","Pleuronectidae","Platichthys","stellatus",,173
33,1,"Lamprey Unknown","Chordata","Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae","Lampetra","NA",,202
34,1,"Western Mosquitofish","Chordata","Osteichthyes","Cyprinodontiformes","Poeciliidae","Gambusia","affinis",,153
35,1,"Yellow Bullhead","Chordata","Osteichthyes","Siluriformes","Ictaluridae","Ictalurus","natalis",,191
36,1,"Smallmouth Bass","Chordata","Osteichthyes","Perciformes","Centrarchidae","Micropterus","dolomieu",,188
37,1,"Surf Smelt","Chordata","Osteichthyes","Salmoniformes","Osmeridae","Hypomesus","pretiosus",,174
39,1,"Pacific Staghorn Sculpin","Chordata","Osteichthyes","Scorpaeniformes","Cottidae","Leptocottus","armatus",,170
40,1,"Riffle Sculpin","Chordata","Osteichthyes","Scorpaeniformes","Cottidae","Cottus","gulosus",,222
41,1,"White Crappie","Chordata","Osteichthyes","Perciformes","Centrarchidae","Pomoxis","annularis",,180
42,1,"Pacific Herring","Chordata","Osteichthyes","Clupeiformes","Clupeidae","Clupea","pallasi",,157
43,1,"Yellow Perch","Chordata","Osteichthyes","Perciformes","Percidae","Perca","flavescens",,
