FACILITY,SampleDate,Time,BuildingCode,SPCODE,LGT,ADCLIP,CATCH,SALVAGE,sLoss
1,"2021-05-04","11:45","OS",2,262,"C",1,1,4.33
1,"2021-05-05","11:30","OS",2,295,"N",1,1,4.33
1,"2021-04-28","11:30","OS",2,305,"C",1,1,4.33
1,"2021-05-06","15:30","OS",2,282,"C",1,1,4.33
1,"2021-04-14","06:45","NS",2,246,"C",1,1,4.33
1,"2021-04-14","06:45","NS",2,272,"C",1,1,4.33
1,"2021-04-14","06:45","NS",2,273,"C",1,1,4.33
1,"2021-04-18","11:30","NS",2,278,"C",1,1,4.33
1,"2021-04-25","11:30","NS",2,287,"C",1,1,4.33
1,"2021-04-29","11:30","OS",2,280,"C",1,1,4.33
1,"2021-04-20","07:30","NS",2,274,"C",1,1,4.33
1,"2021-04-11","12:45","NS",2,248,"C",1,1,4.33
1,"2021-02-23","12:20","NS",2,227,"C",1,1,4.33
1,"2021-04-13","12:30","NS",2,269,"C",1,1,4.33
1,"2021-04-05","08:30","NS",2,267,"C",1,1,4.33
1,"2021-04-05","08:30","NS",2,288,"C",1,1,4.33
1,"2021-04-02","12:35","NS",2,305,"C",1,1,4.33
1,"2021-04-07","11:45","NS",2,220,"C",1,1,4.33
1,"2021-03-18","16:40","NS",2,269,"C",1,1,4.33
1,"2021-03-16","16:40","NS",2,198,"C",1,1,4.33
1,"2021-03-16","16:40","NS",2,214,"N",1,1,4.33
1,"2021-12-17","07:45","NS",2,460,"C",1,1,4.33
1,"2021-12-02","09:00","OS",2,422,"C",1,4,17.32
1,"2021-02-22","09:00","NS",2,276,"C",1,4,17.32
1,"2021-02-22","15:00","NS",2,246,"N",1,4,17.32
1,"2021-05-12","13:00","NS",2,230,"N",1,4,17.32
1,"2021-03-09","10:00","NS",2,269,"N",1,2,8.66
1,"2021-03-15","13:00","NS",2,234,"C",1,2,8.66
1,"2021-03-05","09:00","OS",2,440,"C",1,2,8.66
1,"2021-04-21","04:00","NS",2,332,"C",1,2,8.66
1,"2021-04-24","11:00","NS",2,269,"C",1,4,17.32
1,"2021-04-15","09:00","NS",2,320,"C",1,2,8.66
1,"2021-04-12","12:00","NS",2,221,"N",1,2,8.66
1,"2021-04-15","11:00","NS",2,263,"C",1,4,17.32
1,"2021-04-13","11:00","NS",2,295,"C",1,4,17.32
1,"2021-05-05","09:00","OS",2,285,"N",1,2,8.66
1,"2021-04-28","11:00","OS",2,243,"C",1,4,17.32
1,"2021-04-25","09:00","NS",2,236,"C",1,2,8.66
1,"2021-04-06","11:00","NS",2,235,"C",1,4,17.32
2,"2021-03-10","16:00","F",2,227,"N",1,4,2.72
2,"2021-02-22","14:00","F",2,224,"C",1,4,2.72
2,"2021-02-22","08:00","F",2,230,"C",1,4,2.72
2,"2021-02-23","20:00","F",2,266,"C",1,4,2.72
2,"2021-02-21","16:00","F",2,315,"N",1,4,2.72
2,"2021-02-18","10:00","F",2,240,"C",1,4,2.72
2,"2021-02-19","14:00","F",2,223,"C",1,4,2.72
2,"2021-02-19","10:00","F",2,233,"C",1,4,2.72
2,"2021-02-21","20:00","F",2,253,"C",1,4,2.72
2,"2021-02-20","16:00","F",2,218,"C",1,4,2.72
2,"2021-02-20","16:00","F",2,228,"C",1,4,2.72
2,"2021-02-20","12:00","F",2,205,"C",1,4,2.72
2,"2021-02-20","08:00","F",2,241,"C",1,4,2.72
2,"2021-02-20","10:00","F",2,218,"C",1,4,2.72
2,"2021-02-25","14:00","F",2,211,"C",1,4,2.72
2,"2021-02-25","12:00","F",2,219,"C",1,3,2.04
2,"2021-02-24","14:00","F",2,218,"C",1,4,2.72
2,"2021-03-25","12:00","F",2,260,"N",1,4,2.72
2,"2021-03-23","10:00","F",2,269,"C",1,4,2.72
2,"2021-01-11","12:00","F",2,222,"N",1,4,2.72
2,"2021-02-12","10:00","F",2,234,"C",1,4,2.72
2,"2021-02-02","18:00","F",2,232,"C",1,4,2.72
2,"2021-02-17","14:00","F",2,243,"C",1,4,2.72
2,"2021-02-07","12:00","F",2,267,"C",1,4,2.72
2,"2021-02-06","12:00","F",2,240,"C",1,4,2.72
2,"2021-01-20","10:00","F",2,263,"C",1,4,2.72
2,"2021-12-29","18:00","F",2,235,"N",1,4,2.72
2,"2021-02-12","09:00","F",2,254,"C",1,1,0.68
2,"2021-02-12","09:00","F",2,225,"C",1,1,0.68
2,"2021-12-30","16:00","F",2,303,"N",1,4,2.72
2,"2021-03-16","09:30","F",2,221,"C",1,1,0.68
2,"2021-03-16","09:30","F",2,229,"C",1,1,0.68
2,"2021-04-13","09:00","F",2,292,"C",1,1,0.68
2,"2021-05-11","09:00","F",2,290,"C",1,1,0.68
2,"2021-11-19","09:00","F",2,270,"N",1,1,0.68
2,"2021-12-27","16:00","F",2,255,"C",1,4,2.72
2,"2021-12-16","14:00","F",2,491,"C",1,4,2.72
2,"2021-10-30","14:00","F",2,189,"N",1,4,2.72
