SampleDate,SampleTime,SampMethod,BuildingCode,ForkLength,TagCode,CWTRace
"2012-01-26","11:30:00.0000000",2,"F",153,"055436","LF"
"2012-01-26","11:30:00.0000000",2,"F",153,"055446","LF"
"2012-01-26","11:30:00.0000000",2,"F",156,"055438","LF"
"2012-01-26","11:30:00.0000000",2,"F",156,"055447","LF"
"2012-01-31","10:00:00.0000000",2,"F",174,"055441","LF"
"2012-01-31","10:00:00.0000000",2,"F",174,"055448","LF"
"2012-12-15","23:59:00.0000000",1,"OS",154,"055537","LF"
"2012-12-15","23:59:00.0000000",1,"OS",154,"055547","LF"
"2012-12-17","23:00:00.0000000",1,"NS",155,"055537","LF"
"2012-12-17","23:00:00.0000000",1,"NS",155,"055548","LF"
"2012-12-18","12:00:00.0000000",2,"F",150,"055539","LF"
"2012-12-18","12:00:00.0000000",2,"F",150,"055547","LF"
"2012-12-18","12:00:00.0000000",2,"F",159,"055539","LF"
"2012-12-18","12:00:00.0000000",2,"F",159,"055543","LF"
"2012-12-18","12:00:00.0000000",2,"F",159,"060413","F"
"2012-12-18","12:00:00.0000000",2,"F",164,"055545","LF"
"2012-12-18","12:00:00.0000000",2,"F",164,"060413","F"
"2012-12-18","12:00:00.0000000",2,"F",165,"060413","F"
"2012-12-18","12:00:00.0000000",2,"F",166,"055537","LF"
"2012-12-18","12:00:00.0000000",2,"F",166,"060413","F"
"2012-12-18","12:00:00.0000000",2,"F",170,"055549","LF"
"2012-12-18","12:00:00.0000000",2,"F",170,"060413","F"
"2012-12-18","12:00:00.0000000",2,"F",174,"060413","F"
"2012-12-18","12:00:00.0000000",2,"F",175,"055545","LF"
"2012-12-18","12:00:00.0000000",2,"F",175,"060413","F"
"2012-12-18","12:00:00.0000000",2,"F",177,"055539","LF"
"2012-12-18","12:00:00.0000000",2,"F",177,"055541","LF"
"2012-12-18","12:00:00.0000000",2,"F",178,"055538","LF"
"2012-12-18","12:00:00.0000000",2,"F",178,"055545","LF"
"2012-12-18","12:00:00.0000000",2,"F",179,"055547","LF"
"2012-12-18","12:00:00.0000000",2,"F",179,"060413","F"
"2012-12-18","12:00:00.0000000",2,"F",180,"055537","LF"
"2012-12-18","12:00:00.0000000",2,"F",180,"055539","LF"
"2012-12-18","12:00:00.0000000",2,"F",180,"055548","LF"
"2012-12-18","12:00:00.0000000",2,"F",182,"055541","LF"
"2012-12-18","12:00:00.0000000",2,"F",182,"055543","LF"
"2012-12-18","12:00:00.0000000",2,"F",183,"055542","LF"
"2012-12-18","12:00:00.0000000",2,"F",183,"055550","LF"
"2012-12-18","12:00:00.0000000",2,"F",185,"055537","LF"
"2012-12-18","12:00:00.0000000",2,"F",185,"055543","LF"
"2012-12-18","12:00:00.0000000",2,"F",188,"055548","LF"
"2012-12-18","12:00:00.0000000",2,"F",188,"060413","F"
"2012-12-18","12:00:00.0000000",2,"F",192,"055541","LF"
"2012-12-18","12:00:00.0000000",2,"F",192,"055543","LF"
"2012-12-18","12:00:00.0000000",2,"F",194,"055538","LF"
"2012-12-18","12:00:00.0000000",2,"F",194,"055550","LF"
"2012-12-18","12:00:00.0000000",2,"F",200,"055538","LF"
"2012-12-18","12:00:00.0000000",2,"F",200,"055547","LF"
"2012-12-18","12:00:00.0000000",2,"F",201,"055539","LF"
"2012-12-18","12:00:00.0000000",2,"F",201,"055550","LF"
"2012-12-18","12:00:00.0000000",2,"F",204,"055537","LF"
"2012-12-18","12:00:00.0000000",2,"F",204,"055547","LF"
"2012-12-18","12:00:00.0000000",2,"F",210,"055541","LF"
"2012-12-19","10:00:00.0000000",2,"F",185,"055538","LF"
"2012-12-19","10:00:00.0000000",2,"F",185,"055539","LF"
"2018-04-02","18:00:00.0000000",2,"F",115,"061965","S"
"2020-04-04","04:00:00.0000000",2,"F",92,"061441","S"
"2020-04-11","22:00:00.0000000",2,"F",98,"068020","S"
"2020-04-12","22:00:00.0000000",2,"F",93,"068020","S"
"2020-04-15","04:00:00.0000000",2,"F",96,"068020","S"
"2020-04-16","04:00:00.0000000",2,"F",94,"068020","S"
"2020-04-16","23:59:00.0000000",2,"F",92,"068020","S"
"2020-04-27","22:00:00.0000000",2,"F",84,"061965","S"
"2020-05-01","13:00:00.0000000",1,"NS",95,"061965","S"
