"Building","Date","Samples","Pumping_Time","Sample_Time","Pumping_Volume","Sample_Volume","Exported_Volume"
"SWP","2020-01-01",13,1140,390,9132.8476032,2954.7448128,8010.21912
"CVP","2020-01-01",12,1440,360,9226.6328448,2306.6582112,10044.22764
"SWP","2020-01-02",9,840,270,5601.629376,1745.73072,5426.07852
"CVP","2020-01-02",12,1440,360,9123.87684096,2280.96921024,10044.22764
"SWP","2020-01-03",10,840,300,4987.9476864,1726.61688,4789.60284
"CVP","2020-01-03",12,1440,360,9012.5578368,2253.1394592,10018.32456
"SWP","2020-01-04",12,1020,360,5486.946336,1918.5198336,5593.8318
"CVP","2020-01-04",12,1440,360,9166.69184256,2291.67296064,9959.11752
"SWP","2020-01-05",11,1020,330,5486.946336,1784.2132512,5051.1006
"CVP","2020-01-05",12,1440,360,9136.72134144,2284.18033536,10007.22324
"SWP","2020-01-06",11,960,330,6138.8557056,2014.3438848,6013.215
"CVP","2020-01-06",12,1440,360,7322.99632128,1830.74908032,8700.96792
"SWP","2020-01-07",12,1380,360,6178.1027904,1611.6789888,6347.48808
"CVP","2020-01-07",12,1440,360,9192.38084352,2298.09521088,10263.78708
"SWP","2020-01-08",10,1080,300,4835.0369664,1343.065824,4685.99052
"CVP","2020-01-08",12,1440,360,9355.0778496,2338.7694624,10359.99852
"SWP","2020-01-09",10,1080,300,4835.0369664,1343.065824,4715.59404
"CVP","2020-01-09",12,1440,360,9444.98935296,2361.24733824,10332.86196
"SWP","2020-01-10",10,1080,300,4835.0369664,1343.065824,4732.86276
"CVP","2020-01-10",12,1440,360,9389.32985088,2347.33246272,10252.68576
"SWP","2020-01-11",10,1080,300,4835.0369664,1343.065824,4719.29448
"CVP","2020-01-11",12,1440,360,9462.1153536,2365.5288384,10294.62408
"SWP","2020-01-12",10,1080,300,4835.0369664,1343.065824,4771.10064
"CVP","2020-01-12",12,1440,360,9320.82584832,2330.20646208,10261.32012
"SWP","2020-01-13",10,1080,300,4835.0369664,1343.065824,4750.13148
"CVP","2020-01-13",12,1440,360,9286.57384704,2321.64346176,10288.45668
"SWP","2020-01-14",10,1080,300,4835.0369664,1343.065824,4759.99932
"CVP","2020-01-14",12,1440,360,9342.23334912,2335.55833728,10437.70776
"SWP","2020-01-15",10,1080,300,4835.0369664,1343.065824,4758.76584
"CVP","2020-01-15",12,1440,360,9218.06984448,2304.51746112,10431.54036
"SWP","2020-01-16",12,1080,360,5755.5595008,1918.5198336,5583.96396
"CVP","2020-01-16",12,1440,360,9327.75780096,2331.93945024,10288.45668
"SWP","2020-01-17",10,1080,420,4835.0369664,1880.2921536,4703.25924
"CVP","2020-01-17",12,1440,360,9278.01084672,2319.50271168,10056.56244
"SWP","2020-01-18",10,1080,300,4835.0369664,1343.065824,4726.69536
"CVP","2020-01-18",12,1440,360,9051.09133824,2262.77283456,10110.83556
"SWP","2020-01-19",12,1440,360,6446.7159552,1611.6789888,6405.46164
"CVP","2020-01-19",12,1440,360,9089.62483968,2272.40620992,10237.884
"SWP","2020-01-20",12,1080,360,5755.5595008,1918.5198336,5595.06528
"CVP","2020-01-20",12,1440,360,9359.35934976,2339.83983744,10232.95008
"SWP","2020-01-21",10,1080,330,4835.0369664,1477.3724064,4743.96408
"CVP","2020-01-21",12,1440,360,9453.55235328,2363.38808832,10327.92804
"SWP","2020-01-22",12,1440,510,6446.7159552,2283.2119008,6411.62904
"CVP","2020-01-22",12,1440,360,9444.98935296,2361.24733824,10290.92364
"SWP","2020-01-23",10,1080,330,4835.0369664,1477.3724064,4729.16232
"CVP","2020-01-23",12,1440,360,9355.0778496,2338.7694624,10329.16152
"SWP","2020-01-24",9,1020,420,4566.4238016,1880.2921536,4101.321
"CVP","2020-01-24",12,1440,360,9393.61135104,2348.40283776,10277.35536
"SWP","2020-01-25",12,1440,720,6446.7159552,3223.3579776,6425.19732
"CVP","2020-01-25",12,1440,360,9474.95985408,2368.73996352,10283.52276
"SWP","2020-01-26",11,1080,540,5756.5789056,2878.2894528,5581.497
"CVP","2020-01-26",12,1440,360,9440.7078528,2360.1769632,10267.48752
"SWP","2020-01-27",10,1080,540,4835.0369664,2417.5184832,4730.3958
"CVP","2020-01-27",12,1440,360,9312.262848,2328.065712,10258.85316
