"Building","Date","Samples","Pumping_Time","Sample_Time","Pumping_Volume","Sample_Volume","Exported_Volume","organism_1","organism_2","organism_3","organism_26"
"SWP","1993-01-01",10,1440,187,16126.983936,2006.2735968,15882.28848,7,1,104,0
"CVP","1993-01-01",12,1440,120,10836.68078592,903.05673216,10293.3906,0,0,95,0
"SWP","1993-01-02",11,1500,360,16933.3331328,3705.3665472,15894.62328,12,2,202,0
"CVP","1993-01-02",12,1440,120,11249.94749184,937.49562432,9903.61092,0,0,85,0
"SWP","1993-01-03",10,1500,475,11631.9184704,2606.703024,9781.4964,4,0,201,1
"CVP","1993-01-03",12,1440,120,10749.82749696,895.81895808,10003.5228,0,0,78,0
"SWP","1993-01-04",11,1380,440,10328.6094336,2335.7961984,12942.90564,3,0,246,0
"CVP","1993-01-04",12,1440,120,10338.39571968,861.53297664,10098.50076,0,0,50,0
"SWP","1993-01-05",11,1440,440,12671.201664,2822.2221888,14193.65436,4,0,149,0
"CVP","1993-01-05",12,1440,120,10661.13927936,888.42827328,9559.47,0,0,39,0
"SWP","1993-01-06",12,1440,427,15680.4846336,4235.50801344,15894.62328,1,0,98,1
"CVP","1993-01-06",12,1440,120,10892.74804992,907.72900416,9775.329,0,0,42,0
"SWP","1993-01-07",13,1440,437,16126.983936,4509.79586496,15689.8656,7,0,69,1
"CVP","1993-01-07",12,1440,120,11180.01632256,931.66802688,9855.5052,0,0,93,0
"SWP","1993-01-08",12,1440,295,16126.983936,3100.6046496,15853.91844,0,0,89,1
"CVP","1993-01-08",12,1440,120,11466.06130944,955.50510912,9837.003,1,0,112,0
"SWP","1993-01-09",11,1440,370,15896.5984512,3839.75808,15649.16076,5,2,119,0
"CVP","1993-01-09",12,1440,120,11568.61343232,964.05111936,9861.6726,0,0,141,0
"SWP","1993-01-10",11,1440,167,16851.7807488,1906.47386688,16619.90952,3,3,175,0
"CVP","1993-01-10",12,1440,120,12125.00457216,1010.41704768,9837.003,0,0,216,0
"SWP","1993-01-11",11,1440,215,18577.6330752,2757.065232,18169.1604,3,6,264,2
"CVP","1993-01-11",12,1440,120,10198.32950016,849.86079168,9798.76512,0,0,197,0
"SWP","1993-01-12",10,1440,155,19236.168576,2073.3844128,18906.78144,3,2,363,2
"CVP","1993-01-12",12,1440,70,11382.06235392,558.53188992,9682.818,0,0,277,0
"SWP","1993-01-13",12,1440,115,20349.3586176,1603.014048,19900.96632,0,1,438,0
