"Building","Date","organism_1","organism_2","organism_3","organism_26"
"SWP","1993-01-01",7,1,104,0
"CVP","1993-01-01",0,0,95,0
"SWP","1993-01-02",12,2,202,0
"CVP","1993-01-02",0,0,85,0
"SWP","1993-01-03",4,0,201,1
"CVP","1993-01-03",0,0,78,0
"SWP","1993-01-04",3,0,246,0
"CVP","1993-01-04",0,0,50,0
"SWP","1993-01-05",4,0,149,0
"CVP","1993-01-05",0,0,39,0
"SWP","1993-01-06",1,0,98,1
"CVP","1993-01-06",0,0,42,0
"SWP","1993-01-07",7,0,69,1
"CVP","1993-01-07",0,0,93,0
"SWP","1993-01-08",0,0,89,1
"CVP","1993-01-08",1,0,112,0
"SWP","1993-01-09",5,2,119,0
"CVP","1993-01-09",0,0,141,0
"SWP","1993-01-10",3,3,175,0
"CVP","1993-01-10",0,0,216,0
"SWP","1993-01-11",3,6,264,2
"CVP","1993-01-11",0,0,197,0
"SWP","1993-01-12",3,2,363,2
"CVP","1993-01-12",0,0,277,0
"SWP","1993-01-13",0,1,438,0
"CVP","1993-01-13",0,0,298,0
"SWP","1993-01-14",2,1,269,1
"CVP","1993-01-14",0,0,619,0
"SWP","1993-01-15",5,0,677,4
"CVP","1993-01-15",0,0,304,0
"SWP","1993-01-16",3,3,669,3
"CVP","1993-01-16",0,0,1045,0
"SWP","1993-01-17",7,4,938,3
"CVP","1993-01-17",0,0,461,0
"SWP","1993-01-18",7,6,922,16
"CVP","1993-01-18",0,0,259,0
"SWP","1993-01-19",9,7,957,11
"CVP","1993-01-19",0,0,221,0
"SWP","1993-01-20",5,4,1256,19
"CVP","1993-01-20",1,0,174,0
"SWP","1993-01-21",1,5,920,8
"CVP","1993-01-21",0,0,284,0
"SWP","1993-01-22",6,5,1174,12
"CVP","1993-01-22",0,0,491,0
"SWP","1993-01-23",3,7,1088,10
"CVP","1993-01-23",0,0,262,0
"SWP","1993-01-24",1,2,665,11
"CVP","1993-01-24",0,0,203,0
"SWP","1993-01-25",0,1,687,12
"CVP","1993-01-25",0,0,258,0
"SWP","1993-01-26",8,3,661,19
"CVP","1993-01-26",0,0,207,0
"SWP","1993-01-27",1,3,935,15
"CVP","1993-01-27",0,0,187,0
"SWP","1993-01-28",3,5,940,13
"CVP","1993-01-28",0,0,181,0
"SWP","1993-01-29",4,4,904,18
"CVP","1993-01-29",0,0,158,0
"SWP","1993-01-30",5,7,1247,14
"CVP","1993-01-30",0,0,85,0
"SWP","1993-01-31",3,6,506,7
"CVP","1993-01-31",0,0,99,0
"SWP","1993-02-01",4,2,278,6
"CVP","1993-02-01",0,0,69,0
"SWP","1993-02-02",1,5,245,7
"CVP","1993-02-02",0,0,93,0
"SWP","1993-02-03",0,1,176,5
"CVP","1993-02-03",0,0,105,0
"SWP","1993-02-04",3,1,163,4
"CVP","1993-02-04",0,0,73,0
"SWP","1993-02-05",5,4,310,6
"CVP","1993-02-05",1,0,126,0
"SWP","1993-02-06",1,3,132,6
"CVP","1993-02-06",0,7,127,0
"SWP","1993-02-07",0,8,142,6
"CVP","1993-02-07",1,5,109,0
"SWP","1993-02-08",2,15,308,3
"CVP","1993-02-08",0,11,135,0
"SWP","1993-02-09",3,45,388,6
"CVP","1993-02-09",3,9,127,0
"SWP","1993-02-10",4,38,338,6
"CVP","1993-02-10",2,9,167,0
"SWP","1993-02-11",6,92,346,6
"CVP","1993-02-11",0,4,103,0
"SWP","1993-02-12",4,59,304,10
"CVP","1993-02-12",2,8,122,0
"SWP","1993-02-13",3,72,393,9
"CVP","1993-02-13",4,10,173,0
"SWP","1993-02-14",3,62,478,7
"CVP","1993-02-14",0,10,140,0
"SWP","1993-02-15",1,37,542,4
"CVP","1993-02-15",0,12,117,1
"SWP","1993-02-16",0,51,455,1
"CVP","1993-02-16",0,10,116,0
"SWP","1993-02-17",4,41,532,1
"CVP","1993-02-17",1,8,207,0
"SWP","1993-02-18",3,43,617,5
"CVP","1993-02-18",1,9,100,0
"SWP","1993-02-19",5,46,585,3
"CVP","1993-02-19",0,3,111,0
"SWP","1993-02-20",12,84,367,6
"CVP","1993-02-20",1,9,74,0
"SWP","1993-02-21",19,62,119,9
"CVP","1993-02-21",1,15,120,0
"SWP","1993-02-22",10,91,252,5
"CVP","1993-02-22",1,20,97,0
